area,aspect_ratio,circularity,solidity,h,s,v,label
470.5,0.4883720930232558,0.4839866959350069,0.8462230215827338,8.153256704980842,136.9367816091954,112.38697318007662,0
457.0,1.0285714285714285,0.4201556495743822,0.8309090909090909,8.614931237721022,138.40275049115914,117.92730844793712,0
262.5,1.5555555555555556,0.5938994514422653,0.9391771019677997,7.925675675675676,140.98648648648648,123.26013513513514,0
69851.0,1.161038961038961,0.14097197957069874,0.5799434594356737,171.3439777805975,214.0859732972409,154.14545531446942,0
66815.0,1.1473684210526316,0.13904085838634667,0.583521829122381,171.47976546501863,214.1616552983986,158.60669721121405,0
40223.0,1.0946745562130178,0.22406180622650704,0.5882877744138768,166.16478621601118,204.55255879977486,174.9336009202379,0
47566.5,1.0583554376657824,0.20920805836839895,0.5752492789202852,166.35636017151023,203.96679578267083,180.97015141785943,0
44100.0,1.1278688524590164,0.20743860199760286,0.774764803541782,172.64155026998083,223.78696059618903,177.53201838547014,0
20292.0,1.0157232704402517,0.13998622478985986,0.36948961197399804,172.8851988323683,210.35072019907165,144.18739531990238,0
33998.0,1.010909090909091,0.22456108601845365,0.681090610413286,173.8133575988676,226.47167576624202,158.72548169974291,0
21732.0,0.29222520107238603,0.3277486132982227,0.946804339302052,171.92224729241877,226.64138086642598,203.17671480144404,0
12144.5,0.9246231155778895,0.305446509943477,0.7486668927041272,173.7393262040685,231.18453003135804,141.82093752512662,0
7473.0,0.409375,0.15719149681055136,0.8357190785059271,169.06298003072197,214.38645673323092,176.32142857142858,0
2887.5,1.0802469135802468,0.1264629570768227,0.5088554057626222,173.93367675466837,219.9536381197682,113.95975531229877,0
15932.5,0.8818181818181818,0.35803665292409315,0.7574280960304255,173.99114118732697,230.40387573054443,149.97908335896648,0
1905.5,1.396551724137931,0.37154647168821925,0.7923076923076923,171.9667493796526,215.69925558312656,105.32853598014889,0
16601.0,0.9508196721311475,0.2822635417699146,0.8101407900836932,174.35687360113087,234.46395335139593,146.08887972670516,0
16964.5,0.9621621621621622,0.2847513800348346,0.8172314955319507,174.33300657363625,234.28918233191098,147.19449890439395,0
5724.0,0.6243386243386243,0.2947341667575724,0.9442428241504454,173.65705614567526,231.04434328106558,169.9334007755859,0
9109.0,1.3181818181818181,0.3389522264942181,0.7308540939543466,173.5194013896312,222.44885088188136,140.2061998931053,0
992.0,1.0,0.1685364625503424,0.3938852491562438,170.35611510791367,183.9424460431655,89.01978417266187,0
22974.0,1.0301724137931034,0.24501417999340755,0.7514473555097635,171.7743062955543,189.39256638676954,107.53152039555006,0
25224.0,0.9322033898305084,0.3280262752147651,0.8101233299075026,171.8200381902498,172.99111492147617,114.6111609056545,0
11262.5,0.7022653721682848,0.18490702752943422,0.7621125998105291,167.1656489206158,203.240302743614,182.735701384708,0
13515.0,0.7922077922077922,0.1037097229681215,0.5308743813339618,172.15050095928373,189.69572941092872,102.50166986427911,0
13930.0,0.7913043478260869,0.10686072451679222,0.544023744898557,172.10889517631634,189.8479055965772,102.24035608308606,0
13347.5,0.8045454545454546,0.1029406874368453,0.5564472422562221,172.10714028906307,187.84238153447905,100.88315236931042,0
14475.5,0.7685589519650655,0.10330692057469544,0.5881122148414488,172.04249950195896,187.14801779666644,99.3827611395179,0
14103.0,0.7510729613733905,0.10096791056029686,0.569197239375227,172.10562517025335,187.1500953418687,99.27295014982293,0
14353.5,0.7927927927927928,0.10748087993065898,0.5798456815060192,172.07131367292226,188.7064343163539,99.4058981233244,0
13477.0,0.8141592920353983,0.10983449308278927,0.5340492560084009,172.27465943941232,190.82511946366165,104.1741673204479,0
7555.0,0.6644951140065146,0.09412528650051395,0.6505080075770622,171.79791771199197,210.2136226793778,188.2230306071249,0
8077.0,0.6516129032258065,0.06723938530972423,0.6585137173372467,171.73573923166472,211.4909196740396,188.35902211874273,0
6984.0,0.6258064516129033,0.11751149711318162,0.663783681034073,171.83102040816325,210.87510204081633,187.64884353741496,0
1363.0,0.7,0.15737060733481503,0.45923180592991913,7.1639017916390175,139.80557398805573,112.38420703384207,0
1400.0,0.7341772151898734,0.1543927728088205,0.4615131036756222,7.087912087912088,139.53522947640593,113.06593406593406,0
1398.0,0.7341772151898734,0.18547269873020594,0.47110362257792754,7.213959556425309,139.49380300065232,113.02609262883234,0
791.0,1.2413793103448276,0.18127451128673805,0.5707070707070707,8.73631284916201,129.93519553072625,111.01899441340781,0
